142,RM3,Royal Mail 48 (LL) Daily Rate
143,RM4,Royal Mail 48 (P) Daily Rate
144,RM5,Royal Mail 24 (P) Annual Flat Rate
145,RM6,Royal Mail 48 (P) Annual Flat Rate
146,RM7,Royal Mail 24 (SORT8) (LL) Annual Flat Rate
147,RM8,Royal Mail 24 (SORT8) (P) Annual Flat Rate
148,RM9,Royal Mail 48 (SORT8) (LL) Annual Flat Rate
149,SD1,Special Delivery Guaranteed By 1PM (£500)
150,SD2,Special Delivery Guaranteed By 1PM (£1000)
151,SD3,Special Delivery Guaranteed By 1PM (£2500)
152,SD4,Special Delivery Guaranteed By 9AM (£50)
153,SD5,Special Delivery Guaranteed By 9AM (£1000)
154,SD6,Special Delivery Guaranteed By 9AM (£2500)
155,STL,Royal Mail 1st Class/ 2nd Class  Standard/Signed For (Letters - Daily Rate service)
156,TPL,Tracked 48 High Volume Signature/ No Signature
157,TPM,Tracked 24 High Volume Signature/ No Signature
158,TPN,Tracked 24 Signature/ No Signature
159,TPS,Tracked 48 Signature/ No Signature
160,TRL,Tracked Letter-Boxable 48 High Volume Signature
161,TRM,Tracked Letter-Boxable 24 High Volume No Signature
162,TRN,Tracked Letter-Boxable 24 No Signature
163,TRS,Tracked Letter-Boxable 48 No Signature
164,TSN,Tracked Returns 24
165,TSS,Tracked Returns 48
166,WE1,International Business Parcels Zero Sort Priority
167,WE3,International Business Parcels Zero Sort Economy
168,WG1,International Business Mail Large Letter Zero Sort Priority
169,WG3,International Business Mail Large Letter Zero Sort Economy
170,WG4,International Business Mail Large Letter Zero Sort Priority Machine
171,WG6,International Business Mail Large Letter Zero Srt Economy Machine
172,WW1,International Business Mail Mixed Zero Sort Priority
173,WW3,International Business Mail Mixed Zero Sort Economy
174,WW4,International Business Mail Mixed Zero Sort Priority Machine
175,WW6,International Business Mail Mixd Zero Sort Economy Machine
